iter	Passed	Remaining
334	7900	6249
335	7921	6224
336	7948	6202
337	7973	6180
338	7995	6155
339	8023	6135
340	8044	6110
341	8068	6087
342	8093	6064
343	8116	6040
344	8142	6018
345	8167	5995
346	8188	5970
347	8211	5945
348	8236	5923
349	8260	5900
350	8278	5872
351	8301	5849
352	8323	5824
353	8352	5804
354	8373	5779
355	8395	5753
356	8417	5729
357	8443	5707
358	8468	5684
359	8489	5659
360	8511	5635
361	8533	5610
362	8556	5586
363	8578	5562
364	8604	5539
365	8632	5519
366	8656	5495
367	8678	5471
368	8698	5445
369	8721	5421
370	8748	5400
371	8773	5377
372	8799	5355
373	8824	5332
374	8847	5308
375	8872	5285
376	8896	5262
377	8915	5236
378	8939	5212
379	8965	5190
380	8989	5167
381	9014	5144
382	9038	5120
383	9060	5096
384	9087	5075
385	9114	5053
386	9138	5029
387	9161	5005
388	9192	4986
389	9219	4964
390	9242	4940
391	9266	4917
392	9289	4893
393	9310	4868
394	9342	4848
395	9367	4825
396	9391	4802
397	9412	4776
398	9436	4753
399	9458	4729
400	9478	4703
401	9501	4679
402	9525	4656
