iter	RMSE
535	159.6885909
536	159.6520955
537	159.6202995
538	159.5546859
539	159.4596448
540	159.4273876
541	159.3912553
542	159.3415635
543	159.3161039
544	159.2776934
545	159.2304045
546	159.135464
547	159.1096565
548	159.0584359
549	158.9913894
550	158.9673375
551	158.9072946
552	158.8022075
553	158.7325008
554	158.6793721
555	158.6118816
556	158.5632358
557	158.5292098
558	158.4705477
559	158.4330882
560	158.4004854
561	158.3704914
562	158.333073
563	158.314849
564	158.2528705
565	158.2042599
566	158.1422586
567	158.0605369
568	158.0365861
569	157.9550459
570	157.8953661
571	157.8781001
572	157.8300978
573	157.7689496
574	157.7170862
575	157.6565065
576	157.6317341
577	157.5518265
578	157.5341439
579	157.475546
580	157.3978051
581	157.3400961
582	157.2655589
583	157.2228493
584	157.1759249
585	157.1661092
586	157.1315943
587	157.0800801
588	157.023724
589	156.977795
590	156.9292741
591	156.8883973
592	156.8442821
593	156.7783791
594	156.7104585
595	156.673909
596	156.6485398
597	156.5756852
598	156.5547638
599	156.514788
